,Unnamed: 0,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,year,year_month,year_month_day,year_month_day_hour,year_month_day_hour_min,time,week_day,am_or_pm,dawn,sunrise,noon,sunset,dusk,capital
0,0,489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
1,1,489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
2,2,489434,79323W, WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
3,3,489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
4,4,489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
5,5,489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
6,6,489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
7,7,489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:45,07:45,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
8,8,489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
9,9,489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
10,10,489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
11,11,489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 07,2009/12/01 07:46,07:46,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
12,12,489436,48173C,DOOR MAT BLACK FLOCK ,10,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
13,13,489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
14,14,489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
15,15,489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2009-12-01 09:06:00,1.69,13078.0,United Kingdom,2009,2009/12,2009/12/01,2009/12/01 09,2009/12/01 09:06,09:06,Tuesday,AM,07:03,07:43,11:49,15:54,16:33,London
